epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570459660148,2019-10-07T10.47.40.148,0.000,0.655,0.838,-0.473
1570459660168,2019-10-07T10.47.40.168,0.020,0.869,0.366,-0.122
1570459660187,2019-10-07T10.47.40.187,0.039,0.671,0.747,-0.396
1570459660207,2019-10-07T10.47.40.207,0.059,0.732,0.747,-0.412
1570459660226,2019-10-07T10.47.40.226,0.078,0.777,0.412,-0.320
1570459660247,2019-10-07T10.47.40.247,0.099,0.701,0.168,-0.381
1570459660266,2019-10-07T10.47.40.266,0.118,0.655,0.259,-0.518
1570459660286,2019-10-07T10.47.40.286,0.138,0.655,0.168,-0.473
1570459660305,2019-10-07T10.47.40.305,0.157,0.640,0.229,-0.396
1570459660326,2019-10-07T10.47.40.326,0.178,0.686,0.595,-0.335
1570459660345,2019-10-07T10.47.40.345,0.197,0.686,0.701,-0.259
1570459660365,2019-10-07T10.47.40.365,0.217,0.655,0.808,-0.244
1570459660384,2019-10-07T10.47.40.384,0.236,0.716,0.716,-0.274
1570459660405,2019-10-07T10.47.40.405,0.257,0.732,0.564,-0.274
1570459660424,2019-10-07T10.47.40.424,0.276,0.686,0.838,-0.229
1570459660444,2019-10-07T10.47.40.444,0.296,0.732,0.991,-0.198
1570459660463,2019-10-07T10.47.40.463,0.315,0.823,1.006,-0.213
1570459660484,2019-10-07T10.47.40.484,0.336,0.854,0.869,-0.213
1570459660503,2019-10-07T10.47.40.503,0.355,0.838,0.915,-0.198
1570459660523,2019-10-07T10.47.40.523,0.375,0.960,1.021,-0.259
1570459660543,2019-10-07T10.47.40.543,0.395,1.037,0.884,-0.320
1570459660563,2019-10-07T10.47.40.563,0.415,0.991,0.671,-0.305
1570459660582,2019-10-07T10.47.40.582,0.434,1.098,0.686,-0.274
1570459660603,2019-10-07T10.47.40.603,0.455,1.189,0.549,-0.320
1570459660622,2019-10-07T10.47.40.622,0.474,1.143,0.152,-0.412
1570459660642,2019-10-07T10.47.40.642,0.494,1.113,0.290,-0.381
1570459660661,2019-10-07T10.47.40.661,0.513,1.143,0.457,-0.305
