epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.57047E+12,2019-10-07T13.22.22.390,14.078,1.86,-1.768,-0.396
1.57047E+12,2019-10-07T13.22.22.409,14.097,1.646,-1.829,-0.335
1.57047E+12,2019-10-07T13.22.22.430,14.118,1.54,-0.899,-0.32
1.57047E+12,2019-10-07T13.22.22.450,14.138,1.418,-0.655,-0.381
1.57047E+12,2019-10-07T13.22.22.471,14.159,1.296,-0.976,-0.518
1.57047E+12,2019-10-07T13.22.22.491,14.179,1.25,-1.265,-0.595
1.57047E+12,2019-10-07T13.22.22.510,14.198,0.976,-0.732,-0.549
1.57047E+12,2019-10-07T13.22.22.531,14.219,0.777,0.457,-0.473
1.57047E+12,2019-10-07T13.22.22.551,14.239,0.686,1.479,-0.351
1.57047E+12,2019-10-07T13.22.22.572,14.26,0.716,1.585,-0.274
1.57047E+12,2019-10-07T13.22.22.591,14.279,0.777,1.189,-0.32
1.57047E+12,2019-10-07T13.22.22.611,14.299,0.381,1.479,-0.305
1.57047E+12,2019-10-07T13.22.22.632,14.32,0.32,2.104,-0.152
1.57047E+12,2019-10-07T13.22.22.652,14.34,0.351,1.707,-0.213
1.57047E+12,2019-10-07T13.22.22.672,14.36,0.183,0.503,-0.32
1.57047E+12,2019-10-07T13.22.22.692,14.38,-0.335,-0.213,-0.396
1.57047E+12,2019-10-07T13.22.22.713,14.401,-0.747,-0.488,-0.473
1.57047E+12,2019-10-07T13.22.22.733,14.421,-0.899,-0.595,-0.412
1.57047E+12,2019-10-07T13.22.22.754,14.442,-0.61,-0.442,-0.305
1.57047E+12,2019-10-07T13.22.22.773,14.461,-0.198,-0.32,-0.351
1.57047E+12,2019-10-07T13.22.22.793,14.481,0.091,-0.229,-0.427
1.57047E+12,2019-10-07T13.22.22.814,14.502,0.168,-0.32,-0.457
1.57047E+12,2019-10-07T13.22.22.834,14.522,0.137,0.107,-0.427
1.57047E+12,2019-10-07T13.22.22.853,14.541,0.503,1.021,-0.274
1.57047E+12,2019-10-07T13.22.22.874,14.562,0.93,1.296,-0.259
1.57047E+12,2019-10-07T13.22.22.894,14.582,1.082,1.082,-0.335
1.57047E+12,2019-10-07T13.22.22.915,14.603,1.021,0.869,-0.412
1.57047E+12,2019-10-07T13.22.22.934,14.622,0.945,0.473,-0.457
1.57047E+12,2019-10-07T13.22.22.954,14.642,0.976,0.183,-0.473
1.57047E+12,2019-10-07T13.22.22.975,14.663,1.25,0.29,-0.381
1.57047E+12,2019-10-07T13.22.22.995,14.683,1.54,-0.061,-0.396
