epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570459738883,2019-10-07T10.48.58.883,0.000,0.915,1.052,-0.229
1570459738903,2019-10-07T10.48.58.903,0.020,0.960,1.098,-0.290
1570459738922,2019-10-07T10.48.58.922,0.039,0.793,0.793,-0.183
1570459738941,2019-10-07T10.48.58.941,0.058,0.716,0.869,-0.198
1570459738962,2019-10-07T10.48.58.962,0.079,0.564,0.808,-0.152
1570459738981,2019-10-07T10.48.58.981,0.098,0.412,0.305,-0.213
1570459739002,2019-10-07T10.48.59.002,0.119,0.427,0.366,-0.290
1570459739021,2019-10-07T10.48.59.021,0.138,0.396,0.777,-0.229
1570459739041,2019-10-07T10.48.59.041,0.158,0.366,0.899,-0.229
1570459739060,2019-10-07T10.48.59.060,0.177,0.442,0.991,-0.244
1570459739081,2019-10-07T10.48.59.081,0.198,0.534,0.396,-0.320
1570459739100,2019-10-07T10.48.59.100,0.217,0.549,0.290,-0.335
1570459739120,2019-10-07T10.48.59.120,0.237,0.473,1.052,-0.305
1570459739139,2019-10-07T10.48.59.139,0.256,0.351,1.037,-0.244
1570459739160,2019-10-07T10.48.59.160,0.277,0.320,0.534,-0.381
1570459739179,2019-10-07T10.48.59.179,0.296,0.473,0.381,-0.488
1570459739199,2019-10-07T10.48.59.199,0.316,0.686,0.396,-0.549
1570459739218,2019-10-07T10.48.59.218,0.335,0.854,0.412,-0.473
1570459739239,2019-10-07T10.48.59.239,0.356,0.930,0.625,-0.442
1570459739258,2019-10-07T10.48.59.258,0.375,0.915,0.396,-0.457
1570459739278,2019-10-07T10.48.59.278,0.395,0.869,0.229,-0.473
1570459739297,2019-10-07T10.48.59.297,0.414,0.930,0.213,-0.595
1570459739318,2019-10-07T10.48.59.318,0.435,0.930,0.183,-0.640
1570459739337,2019-10-07T10.48.59.337,0.454,0.976,0.030,-0.549
1570459739357,2019-10-07T10.48.59.357,0.474,0.793,0.290,-0.427
1570459739377,2019-10-07T10.48.59.377,0.494,0.716,0.488,-0.503
1570459739397,2019-10-07T10.48.59.397,0.514,0.838,0.732,-0.488
1570459739416,2019-10-07T10.48.59.416,0.533,0.930,0.915,-0.412
1570459739437,2019-10-07T10.48.59.437,0.554,0.976,0.579,-0.442
1570459739456,2019-10-07T10.48.59.456,0.573,0.976,0.152,-0.549
1570459739476,2019-10-07T10.48.59.476,0.593,0.960,0.274,-0.595
1570459739495,2019-10-07T10.48.59.495,0.612,0.915,0.671,-0.518
1570459739516,2019-10-07T10.48.59.516,0.633,0.930,0.655,-0.488
1570459739535,2019-10-07T10.48.59.535,0.652,0.808,0.076,-0.564
1570459739555,2019-10-07T10.48.59.555,0.672,0.747,-0.335,-0.640
1570459739574,2019-10-07T10.48.59.574,0.691,0.671,0.290,-0.488
1570459739593,2019-10-07T10.48.59.593,0.710,0.686,0.732,-0.351
1570459739614,2019-10-07T10.48.59.614,0.731,0.762,0.838,-0.259
1570459739633,2019-10-07T10.48.59.633,0.750,0.640,1.037,-0.229
1570459739653,2019-10-07T10.48.59.653,0.770,0.595,1.372,-0.244
1570459739672,2019-10-07T10.48.59.672,0.789,0.747,1.387,-0.335
1570459739693,2019-10-07T10.48.59.693,0.810,0.915,1.067,-0.381
1570459739712,2019-10-07T10.48.59.712,0.829,1.098,0.655,-0.305
1570459739732,2019-10-07T10.48.59.732,0.849,1.037,0.686,-0.412
1570459739752,2019-10-07T10.48.59.752,0.869,0.991,0.640,-0.488
1570459739772,2019-10-07T10.48.59.772,0.889,0.869,0.579,-0.488
1570459739791,2019-10-07T10.48.59.791,0.908,0.762,0.945,-0.457
1570459739812,2019-10-07T10.48.59.812,0.929,0.686,0.945,-0.427
1570459739831,2019-10-07T10.48.59.831,0.948,0.640,0.595,-0.412
1570459739851,2019-10-07T10.48.59.851,0.968,0.732,0.168,-0.473
1570459739870,2019-10-07T10.48.59.870,0.987,0.671,0.396,-0.381
1570459739891,2019-10-07T10.48.59.891,1.008,0.595,1.296,-0.213
1570459739910,2019-10-07T10.48.59.910,1.027,0.610,1.418,-0.351
1570459739930,2019-10-07T10.48.59.930,1.047,0.595,0.732,-0.442
1570459739949,2019-10-07T10.48.59.949,1.066,0.625,0.579,-0.518
1570459739970,2019-10-07T10.48.59.970,1.087,0.564,0.808,-0.442
1570459739989,2019-10-07T10.48.59.989,1.106,0.534,1.037,-0.427
1570459740009,2019-10-07T10.49.00.009,1.126,0.534,0.305,-0.473
1570459740028,2019-10-07T10.49.00.028,1.145,0.564,-0.076,-0.549
1570459740049,2019-10-07T10.49.00.049,1.166,0.625,0.412,-0.579
1570459740068,2019-10-07T10.49.00.068,1.185,0.701,0.854,-0.503
1570459740088,2019-10-07T10.49.00.088,1.205,0.716,0.762,-0.534
1570459740107,2019-10-07T10.49.00.107,1.224,0.595,0.534,-0.503
1570459740128,2019-10-07T10.49.00.128,1.245,0.488,0.518,-0.549
1570459740147,2019-10-07T10.49.00.147,1.264,0.396,0.640,-0.549
1570459740168,2019-10-07T10.49.00.168,1.285,0.305,0.534,-0.518
1570459740187,2019-10-07T10.49.00.187,1.304,0.442,0.122,-0.579
1570459740207,2019-10-07T10.49.00.207,1.324,0.488,0.579,-0.427
1570459740226,2019-10-07T10.49.00.226,1.343,0.442,1.220,-0.305
1570459740245,2019-10-07T10.49.00.245,1.362,0.320,1.235,-0.381
1570459740266,2019-10-07T10.49.00.266,1.383,0.259,0.823,-0.442
1570459740285,2019-10-07T10.49.00.285,1.402,0.427,0.518,-0.396
1570459740305,2019-10-07T10.49.00.305,1.422,0.640,0.747,-0.305
1570459740324,2019-10-07T10.49.00.324,1.441,0.716,1.021,-0.320
1570459740345,2019-10-07T10.49.00.345,1.462,0.671,0.884,-0.381
1570459740364,2019-10-07T10.49.00.364,1.481,0.564,0.534,-0.320
1570459740384,2019-10-07T10.49.00.384,1.501,0.716,0.473,-0.351
1570459740403,2019-10-07T10.49.00.403,1.520,0.655,0.595,-0.335
1570459740424,2019-10-07T10.49.00.424,1.541,0.732,0.244,-0.290
1570459740443,2019-10-07T10.49.00.443,1.560,0.716,0.457,-0.259
1570459740463,2019-10-07T10.49.00.463,1.580,0.640,0.686,-0.213
1570459740482,2019-10-07T10.49.00.482,1.599,0.534,0.366,-0.335
1570459740503,2019-10-07T10.49.00.503,1.620,0.534,0.274,-0.335
1570459740522,2019-10-07T10.49.00.522,1.639,0.655,0.427,-0.198
1570459740543,2019-10-07T10.49.00.543,1.660,0.701,1.448,-0.076
1570459740562,2019-10-07T10.49.00.562,1.679,0.640,2.088,-0.015
1570459740582,2019-10-07T10.49.00.582,1.699,0.564,1.235,-0.030
1570459740601,2019-10-07T10.49.00.601,1.718,0.625,0.320,-0.183
1570459740622,2019-10-07T10.49.00.622,1.739,0.686,0.549,-0.213
1570459740641,2019-10-07T10.49.00.641,1.758,0.777,1.143,-0.259
1570459740661,2019-10-07T10.49.00.661,1.778,0.808,0.640,-0.351
1570459740680,2019-10-07T10.49.00.680,1.797,0.793,-0.442,-0.595
1570459740701,2019-10-07T10.49.00.701,1.818,0.716,-0.107,-0.503
1570459740720,2019-10-07T10.49.00.720,1.837,0.610,0.838,-0.381
1570459740740,2019-10-07T10.49.00.740,1.857,0.488,0.579,-0.473
1570459740759,2019-10-07T10.49.00.759,1.876,0.366,0.122,-0.503
1570459740780,2019-10-07T10.49.00.780,1.897,0.381,0.015,-0.518
1570459740799,2019-10-07T10.49.00.799,1.916,0.351,0.595,-0.305
1570459740819,2019-10-07T10.49.00.819,1.936,0.259,0.823,-0.213
1570459740838,2019-10-07T10.49.00.838,1.955,0.046,1.052,-0.244
1570459740859,2019-10-07T10.49.00.859,1.976,-0.076,0.960,-0.259
1570459740878,2019-10-07T10.49.00.878,1.995,0.091,0.762,-0.305
1570459740898,2019-10-07T10.49.00.898,2.015,0.396,0.518,-0.381
1570459740918,2019-10-07T10.49.00.918,2.035,0.442,0.381,-0.366
1570459740938,2019-10-07T10.49.00.938,2.055,0.549,1.113,-0.351
1570459740957,2019-10-07T10.49.00.957,2.074,0.564,0.945,-0.427
1570459740976,2019-10-07T10.49.00.976,2.093,0.549,0.351,-0.579
1570459740997,2019-10-07T10.49.00.997,2.114,0.503,0.701,-0.534
1570459741016,2019-10-07T10.49.01.016,2.133,0.427,1.174,-0.366
1570459741036,2019-10-07T10.49.01.036,2.153,0.351,0.869,-0.427
1570459741055,2019-10-07T10.49.01.055,2.172,0.396,-0.076,-0.625
1570459741076,2019-10-07T10.49.01.076,2.193,0.518,-0.091,-0.579
1570459741095,2019-10-07T10.49.01.095,2.212,0.549,0.564,-0.518
1570459741115,2019-10-07T10.49.01.115,2.232,0.564,1.082,-0.335
1570459741134,2019-10-07T10.49.01.134,2.251,0.488,1.128,-0.320
1570459741155,2019-10-07T10.49.01.155,2.272,0.473,0.259,-0.549
1570459741174,2019-10-07T10.49.01.174,2.291,0.518,0.213,-0.503
1570459741194,2019-10-07T10.49.01.194,2.311,0.488,0.747,-0.351
1570459741213,2019-10-07T10.49.01.213,2.330,0.534,0.595,-0.351
1570459741234,2019-10-07T10.49.01.234,2.351,0.640,0.351,-0.351
1570459741253,2019-10-07T10.49.01.253,2.370,0.777,0.762,-0.320
1570459741273,2019-10-07T10.49.01.273,2.390,0.777,0.488,-0.488
1570459741293,2019-10-07T10.49.01.293,2.410,0.793,0.061,-0.442
1570459741313,2019-10-07T10.49.01.313,2.430,0.610,0.549,-0.351
1570459741332,2019-10-07T10.49.01.332,2.449,0.427,0.396,-0.305
1570459741353,2019-10-07T10.49.01.353,2.470,0.290,0.381,-0.290
1570459741372,2019-10-07T10.49.01.372,2.489,0.381,0.305,-0.305
1570459741392,2019-10-07T10.49.01.392,2.509,0.503,0.412,-0.244
1570459741411,2019-10-07T10.49.01.411,2.528,0.549,0.732,-0.152
1570459741432,2019-10-07T10.49.01.432,2.549,0.473,0.854,-0.183
1570459741451,2019-10-07T10.49.01.451,2.568,0.549,0.579,-0.305
1570459741471,2019-10-07T10.49.01.471,2.588,0.808,0.793,-0.213
